respondent_id,stakeholder_type,pre_trust_centralized,post_trust_blockchain,pre_transparency_centralized,post_transparency_blockchain,pre_accountability_centralized,post_accountability_blockchain,pre_willingness_centralized,post_willingness_blockchain,trust_improvement
17,Healthcare Provider,5.733708673737809,8.77359900652555,3.109498879999427,6.6493892127871685,5.97255134675012,9.312441679537862,6.9264631379737756,9.766353470761517,3.039890332787742
18,Regulator,4.673506762196282,8.98141362354755,2.084321367223372,6.892228228574639,3.247255320132748,7.8551621814840145,7.969388402348759,10.0,4.307906861351268
19,ML Engineer,6.274979967819008,8.259143107410935,4.209290065103356,6.693453204695283,3.972376765588398,6.2565399051803245,5.44262791266809,7.226791052260016,1.984163139591927
20,Patient,6.383188599692291,9.342626672250047,4.4905937658276125,7.950031838385368,4.620484062445823,7.879922135003579,6.2103718927837885,8.969809965341545,2.959438072557756
21,Regulator,5.266224676614433,6.485608032492381,4.970431796035867,6.689815151913816,9.000852294120442,10.0,1.0,1.0,1.219383355877948
22,Healthcare Provider,8.114751530882547,10.0,4.4167853093937595,7.32242457573615,4.835455811786323,7.541095078128714,6.491502335813829,8.69714160215622,1.8852484691174531
23,Regulator,4.459494532411026,7.446266576907958,2.482608991922401,5.969381036419334,6.497346946042258,9.784118990539191,4.851789340886567,7.6385613853834995,2.9867720444969326
24,Healthcare Provider,4.095331381830526,6.009254240478695,2.3328718209006154,4.746794679548784,4.032601696354456,6.246524555002625,7.5540076312768365,9.267930489925005,1.913922858648169
25,Patient,5.4944445124143275,7.4084683643214335,5.263990642057395,7.678014493964501,2.63381929955551,4.847843151462616,4.248312407271168,5.962336259178274,1.914023851907106
26,Patient,6.458953279436058,9.114102983735904,5.639746730805906,8.794896435105752,4.159997109350945,7.115146813650791,5.982682064964387,8.437831769264234,2.6551497042998466
27,Regulator,6.074485135331785,10.0,6.388403807610983,10.0,7.76954150752619,10.0,6.53348829424192,10.0,3.925514864668215
28,Patient,7.6015142149003445,10.0,5.733630789389621,8.770088265211692,2.2291704463706585,5.065627922192729,4.212143662061884,6.5486011378839555,2.3984857850996555
29,Patient,7.10484306079086,9.459785135634405,6.977286062828334,9.83222813767188,5.133068251862383,7.788010326705929,6.291821382819242,8.446763457662788,2.354942074843545
30,Patient,4.044364126909764,5.400135034783241,4.929645687476147,6.7854165953496235,5.670004768906863,7.3257756767803395,4.885854383734939,6.041625291608415,1.3557709078734765
31,Patient,5.760674559402261,9.700620132937875,3.456887775899393,7.896833349435005,2.840813345537807,7.0807589190734195,3.9835959882897054,7.723541561825318,3.9399455735356135
32,Healthcare Provider,6.584400654714775,8.268758775300364,4.432610518816685,6.616968639402275,6.300069917383722,8.284428037969311,5.660176677697919,7.144534798283508,1.684358120585589
33,Patient,4.642623447776181,8.352206072711795,4.889433163761118,9.09901578869673,3.8472057864518563,7.856788411387469,8.081344562390537,10.0,3.7095826249356136
34,Patient,4.57812667371136,9.007943462748594,6.150171809153638,10.0,4.67493356393273,9.404750352969966,6.650823317364191,10.0,4.429816789037234
35,Regulator,6.856803787350728,9.884570321023823,7.115286824224419,10.0,5.647569334327461,8.975335868000556,6.394458443125941,9.222224976799037,3.027766533673095
36,Regulator,5.817392423130308,7.489651324017149,7.3510435923545545,9.523302493241395,4.5484164906994,6.5206753915862405,7.109248792826608,8.58150769371345,1.6722589008868418
37,Patient,6.218281554879501,7.965740009701051,5.85704086515614,8.104499319977691,5.501112633343449,7.548571088164999,1.4751556223257518,3.022614077147302,1.7474584548215502
38,Patient,5.595350520929487,8.904395482974184,6.300390064783963,10.0,3.509869146107393,7.118914108152091,7.083512933596401,10.0,3.3090449620446973
39,Regulator,5.078546252097326,8.368118303434919,5.962274535592322,9.751846586929915,6.167330225567777,9.75690227690537,4.566383710300695,7.655955761638286,3.2895720513375926
40,Regulator,3.297920019007784,7.50013081050808,3.25543509427317,7.9576458857734655,5.0001514745402105,9.502362266040507,5.4455025914764335,9.44771338297673,4.2022107915002955
41,ML Engineer,4.761101126305016,6.595400070516523,2.5371587902453943,4.871457734456901,6.463573349750932,8.597872293962439,4.522918369760493,6.157217313972,1.8342989442115067
42,ML Engineer,6.728885752074174,8.34587467509968,4.165628695584464,6.2826176186099705,3.7665852308683316,5.683574153893837,1.7801579980486841,3.1971469210741903,1.616988923025506
43,ML Engineer,5.550741138373717,7.721300427046733,5.942310057816236,8.612869346489251,7.592184199917064,10.0,6.654997509873221,8.625556798546238,2.170559288673016
44,Healthcare Provider,6.9091762069778735,8.851637925191696,2.720059769909526,5.16252148812335,5.481201345718378,7.723663063932201,5.630750836171883,7.373212554385706,1.9424617182138224
45,Healthcare Provider,5.89585760795743,8.610145769792826,5.165234335220925,8.379522497056321,7.384575890765602,10.0,6.957358536391778,9.471646698227175,2.7142881618353965
46,Healthcare Provider,7.502223100971016,10.0,4.013469070470007,7.320628245896794,6.912675162638002,10.0,7.3956754044387125,10.0,2.4977768990289837
47,ML Engineer,6.812609407612092,7.9821193096373815,4.628915993681999,6.298425895707288,4.806156226990431,6.275666129015721,4.529850336254202,5.499360238279491,1.1695099020252897
48,Regulator,5.16797935616342,7.967976999811983,6.012906523697798,9.31290416734636,5.656532767315828,8.756530410964391,6.766633813132236,9.366631456780798,2.7999976436485623
49,Patient,6.825861323236515,7.278150789106871,1.8236080292388728,2.775897495109229,6.572431531299716,7.324720997170072,3.737535302432434,3.98982476830279,0.452289465870356
50,Regulator,5.835782238715555,9.63650162753618,4.232747533525486,8.533466922346111,7.024841761317769,10.0,8.912030305424413,10.0,3.8007193888206254
51,Patient,5.514731606993485,8.069491706331315,4.395346891230883,7.450106990568711,9.211672336312335,10.0,4.403346461798929,6.758106561136757,2.5547600993378294
52,Regulator,5.590029463626397,9.446300804863608,3.8298136429140186,8.186084984151229,5.905756853516029,10.0,10.0,10.0,3.8562713412372105
53,Healthcare Provider,6.945118989971176,9.665461753585792,4.928824098781614,8.149166862396228,3.585494866832761,6.605837630447376,4.808624973659046,7.32896773727366,2.7203427636146156
54,ML Engineer,6.204107703109568,8.887681810343253,6.480625358674605,9.66419946590829,6.333433827537457,9.317007934771143,6.317978978374933,8.801553085608619,2.6835741072336843
55,Patient,6.822602169255556,7.989962925595833,5.221992267722747,6.889353024063025,6.857379525671471,8.32474028201175,9.662265138526111,10.0,1.167360756340277
56,Healthcare Provider,6.3963736890432985,7.910395083623858,3.9720431037737067,5.986064498354267,5.626251745563617,7.440273140144177,4.366554842791463,5.680576237372023,1.5140213945805598
57,ML Engineer,3.968732485024311,5.649404327699628,5.595448933977973,7.77612077665329,4.327473531524094,6.308145374199411,3.562942323596178,5.043614166271494,1.6806718426753169
58,Healthcare Provider,7.425145426626513,8.36039019327528,4.2114363857063015,5.64668115235507,4.976443344743969,6.211688111392737,4.987109815642998,5.722354582291766,0.9352447666487675
59,Patient,7.714402923634385,10.0,7.681976857152348,10.0,5.837076871112252,10.0,6.141577903734338,10.0,2.2855970763656153
60,Patient,6.518348430323007,7.473901046378625,6.77450022270882,8.230052838764438,5.751553146227247,7.0071057622828645,3.787445583706557,4.542998199762175,0.955552616055618
61,Regulator,4.167373512267302,7.2794015542017885,3.4470640522035363,7.059092094138022,4.631836289801696,8.043864331736183,10.0,10.0,3.1120280419344866
62,Regulator,7.375168542672046,10.0,2.228579975025079,6.944389693630213,6.011036728828605,10.0,5.607530932366293,9.623340650971429,2.6248314573279536
63,Regulator,5.892961621098964,9.116800858903263,1.758070384977784,5.481909622782084,4.836962424811803,8.360801662616103,2.8793485890526656,5.903187826856965,3.223839237804299
64,Patient,6.1029935464111205,9.266112298880651,6.65050921392898,10.0,3.6446455900331287,7.1077643425026595,3.134704447003195,6.097823199472726,3.163118752469531
65,Regulator,7.484462533720829,10.0,7.035923592707782,10.0,4.21247833257016,7.900524027498724,6.024266917045541,9.212312611974106,2.515537466279171
66,Regulator,5.348608423177963,8.798055992273092,5.07363847518797,9.023086044283097,4.997364769478106,8.746812338573235,7.486035879773386,10.0,3.4494475690951285
67,Healthcare Provider,6.171776817504557,7.611136541698649,5.165152860216814,7.104512584410905,4.547277988982438,6.286637713176529,6.061761694965637,7.3011214191597285,1.4393597241940919
68,Healthcare Provider,5.108713667405482,7.482528215778034,5.350535019529956,8.224349567902507,5.463071426804545,8.136885975177098,1.0,1.1193348833250136,2.373814548372552
69,Patient,4.850416604467063,6.452049918441374,6.102107248875093,8.203740562849404,2.293722293689335,4.195355607663646,4.908194386848082,6.309827700822393,1.601633313974311
70,Regulator,7.418170484020837,10.0,2.7361187280813137,7.078030050066343,6.0952838573018475,10.0,4.77505792774523,8.416969249730261,2.5818295159791633
71,Patient,7.1131884953901015,9.549136899733476,4.581908755389882,7.517857159733256,6.749210173985231,9.485158578328607,4.49981245640729,6.7357608607506645,2.4359484043433746
72,Healthcare Provider,5.367772379443043,7.446248257650575,4.015203314541591,6.593679192749123,6.849459910642912,9.227935788850445,5.31235528591738,7.190831164124912,2.0784758782075325
73,ML Engineer,5.905218074636735,7.275014200710038,4.7425070389504524,6.612303165023755,3.497547418491112,5.167343544564415,9.550210899197367,10.0,1.369796126073303
74,Regulator,4.457936421123826,7.71151477107837,6.4168458364254,10.0,3.9132440288197095,7.466822378774254,1.685394922734722,4.738973272689266,3.2535783499545445
75,Patient,9.404250025288887,10.0,2.9082931436707478,6.383986370170625,6.56534048770671,9.841033714206587,4.709756232206308,7.485449458706184,0.5957499747111132
76,ML Engineer,2.9444438965199975,2.6748814064170787,6.86550262440208,7.095940134299161,5.625726937932851,5.656164447829932,8.52045229159529,8.050889801492373,-0.2695624901029188
77,ML Engineer,6.893063621049503,9.719981346549659,3.7418904163700253,7.068808141870182,6.257073676516698,9.383991402016855,3.414588120998438,6.041505846498594,2.826917725500156
78,Patient,6.373490266949105,8.740601238021185,5.877981022911072,8.745091993983152,3.9224730852260197,6.589584056298098,8.364645915453613,10.0,2.36711097107208
79,Patient,5.227588430971802,7.614609501081863,4.723025917168692,7.610046987278753,6.900249696622919,9.587270766732981,8.315734227324814,10.0,2.3870210701100607
80,ML Engineer,8.15873298642145,6.913670528527471,7.32515402534947,6.580091567455491,6.0083855706883265,5.063323112794348,4.89064940449548,3.4455869466015008,-1.2450624578939786
81,Patient,6.394567643450495,9.678966932647162,3.462345304365751,7.246744593562418,4.309810563731027,7.894209852927694,6.548883716990922,9.63328300618759,3.284399289196667
82,Patient,5.464467921700381,9.104559824552933,4.694783390100019,8.834875292952571,4.697781998318076,8.637873901170629,4.365305974485924,7.805397877338478,3.640091902852552
83,Patient,3.842456927284122,8.916252097197745,3.897947062095935,9.471742232009559,4.702152278826252,10.0,6.729058045708898,10.0,5.073795169913623
84,Regulator,7.098260911586937,10.0,6.144621941216242,10.0,6.116808413838811,10.0,6.299484331082559,10.0,2.9017390884130627
85,Regulator,6.2976758104825965,9.035944629241712,4.967166962953361,8.205435781712477,6.4192309481247385,9.457499766883855,7.258829406977022,9.79709822573614,2.7382688187591153
86,Patient,7.981696351221609,10.0,4.772626286011769,9.475278626174793,4.511523994753419,9.014176334916444,1.0,2.299390283014322,2.0183036487783914
87,ML Engineer,7.705545650126251,9.117618792823974,5.8729136645464965,7.784986807244219,4.096586405471978,5.8086595481697,7.530828295039767,8.74290143773749,1.4120731426977224
88,Patient,6.233994133244726,9.686936158195213,4.9954045345912785,8.948346559541765,9.033416268631514,10.0,2.5703573956378762,5.823299420588364,3.4529420249504863
89,Patient,7.16897425768005,10.0,6.638040164011931,10.0,5.437996247287065,9.182109631155928,10.0,10.0,2.83102574231995
90,Healthcare Provider,4.775207678101389,7.898101137590013,5.249098756060414,8.871992215549039,6.052410703352015,9.47530416284064,7.459612842414865,10.0,3.1228934594886235
91,ML Engineer,5.850631558327475,6.5700527170469725,6.343204097656326,7.562625256375823,5.1542769940289475,6.173698152748445,5.432225848080801,5.9516470068002985,0.7194211587194976
92,Healthcare Provider,5.25044908434721,6.892593833049757,4.9758848862388705,7.118029634941418,7.8920440866357815,9.83418883533833,4.7720133506157305,6.2141580993182775,1.6421447487025471
93,Patient,8.062989668256915,10.0,7.141867435498922,9.814236875211579,9.03718827220601,10.0,6.346752426920792,8.319121866633449,1.9370103317430853
94,Regulator,6.447230213798054,10.0,4.89941088843802,8.993603573751363,2.2855670490564592,6.179759734369802,8.690841053295348,10.0,3.552769786201946
95,Healthcare Provider,8.122800273589114,10.0,3.7627581243425707,6.15209388146926,5.263455132587315,7.452790889714004,6.085908993959969,7.7752447510866585,1.8771997264108862
96,ML Engineer,5.751658428939746,7.627520240300773,2.4641830957277535,4.84004490708878,8.615413951425868,10.0,7.808195011787141,9.484056823148167,1.8758618113610268
97,ML Engineer,6.7995631340343605,6.86045331174931,4.2642971752821435,4.825187352997093,4.932010617632708,5.292900795347657,9.639370104178724,9.500260281893674,0.06089017771494909
98,Patient,5.151284133103618,9.914047221705161,3.3051551606147087,8.567918249216252,5.917045472659241,10.0,5.499930976066791,10.0,4.762763088601543
99,Regulator,4.5050999861252645,8.341561693215867,5.170572239458693,9.507033946549296,6.13855220094482,10.0,5.947269229578287,9.583730936668891,3.836461707090603
100,ML Engineer,7.2141196104922365,9.020311388234559,5.055630875548333,7.361822653290655,6.098346467759274,8.204538245501597,5.227695499778098,6.833887277520421,1.8061917777423222
